basename,songLengthMs,bSP,BSP,DSP,ESP,CSP,bDP,BDP,DDP,EDP,CDP
dilu,110650,16 19 1 32 0,27 25 12 16 0,50 51 36 20 15,70 64 43 39 40,,,28 25 10 20 0,48 44 32 20 14,67 64 40 34 35,
dimo,108449,14 16 0 22 0,23 33 3 32 0,42 45 14 42 10,60 56 1 43 41,78 73 14 43 100,,26 33 3 28 0,42 45 12 32 10,55 45 7 40 32,77 78 14 43 100
dind,102852,16 17 0 0 0,31 29 5 7 0,45 40 40 16 7,63 58 25 20 45,73 58 29 16 55,,32 29 7 7 0,44 46 47 14 7,63 52 27 17 32,71 58 30 13 56
ding,101333,17 22 0 15 0,40 37 7 22 0,60 60 18 17 14,77 60 14 14 34,,,39 45 3 11 0,60 60 3 12 15,76 60 12 14 32,
dipi,92297,13 10 0 6 0,18 14 3 35 0,21 17 1 6 0,53 42 16 8 70,,,17 14 5 46 0,31 28 1 6 10,49 42 9 3 58,
dirt,85712,13 17 3 17 0,27 23 3 14 0,44 46 34 18 8,58 70 25 14 42,71 93 23 5 91,,27 23 3 14 0,44 46 29 18 8,56 70 21 20 41,73 93 32 5 77
disp,90667,21 22 0 16 0,34 30 1 37 0,56 45 0 51 16,75 82 10 51 60,,,34 30 1 37 0,56 45 0 51 16,74 82 0 76 61,
dist,96480,14 20 0 0 0,19 20 3 22 0,28 26 3 19 2,38 41 7 19 6,19 20 3 22 0,,23 20 0 19 0,28 26 3 19 2,37 41 5 19 5,21 20 0 19 0
dive,92126,26 25 0 0 0,44 38 18 0 0,59 51 23 0 12,76 77 56 0 40,,,41 38 14 0 0,58 45 25 0 13,69 64 43 0 26,
divi,78052,,39 37 50 0 0,43 43 20 0 10,55 50 32 0 23,,,43 43 20 0 10,55 50 32 0 23,,
dizz,86567,14 14 0 0 0,22 23 25 36 0,38 33 25 47 6,48 37 27 27 23,,,21 28 25 38 0,37 33 25 47 5,48 37 25 41 23,
djam,87987,11 11 0 0 0,27 22 10 0 3,42 60 65 0 26,57 60 81 0 81,,,25 22 7 0 0,31 26 3 0 15,50 37 29 0 26,
dkdk,114859,23 29 5 4 0,36 46 18 17 0,56 46 30 9 16,88 93 34 18 101,,,36 46 21 9 0,55 46 23 15 15,85 75 18 17 101,
dluv,96632,21 25 0 0 0,42 51 25 0 0,55 51 7 0 22,73 77 16 0 74,,,44 44 23 0 0,47 51 63 0 0,72 57 25 0 35,
dmin,106872,14 21 5 0 0,19 26 14 42 0,32 37 32 87 2,48 42 50 37 25,70 53 14 20 73,,31 26 1 7 0,38 32 9 28 1,49 42 1 8 11,62 53 1 11 45
doca,108460,30 34 5 3 0,37 52 30 4 0,64 69 52 50 4,74 69 78 34 14,,,36 52 21 8 0,53 60 32 37 0,70 60 38 25 10,
does,83150,12 8 0 0 0,15 12 0 12 0,36 41 18 0 17,49 45 12 6 60,,,13 16 1 0 0,30 24 0 0 7,49 49 0 0 49,
dofl,105255,12 14 9 0 0,15 14 1 0 0,34 28 7 28 5,37 38 5 66 14,,,25 23 3 18 0,34 33 25 31 5,43 38 16 2 15,
doit,85607,24 23 18 0 0,33 23 0 0 0,36 35 12 0 5,64 47 1 0 28,74 71 30 0 64,,29 29 25 0 0,45 35 25 0 9,66 53 16 0 56,70 47 29 0 29
dokn,85565,10 9 1 0 0,18 19 0 52 0,35 28 7 59 3,45 38 7 59 13,,,19 19 0 52 0,37 33 0 55 5,45 38 0 41 14,
doku,102564,15 9 0 5 0,31 24 9 22 0,45 34 7 28 13,60 58 21 35 48,,,31 24 7 27 0,45 34 7 28 13,59 58 21 35 48,
dokv,122130,23 21 1 22 0,37 35 5 51 0,53 56 20 61 11,72 70 45 58 38,,,37 35 5 50 0,52 49 14 61 10,72 70 34 58 36,
doll,111519,21 21 0 0 0,34 28 3 30 0,45 42 14 114 4,65 85 27 87 29,77 85 49 80 49,,35 28 1 37 0,43 49 16 114 3,67 85 34 69 30,81 85 29 61 64
dome,86766,20 16 0 0 0,37 27 0 0 0,56 38 3 0 30,79 54 18 0 83,,,38 21 0 0 0,51 43 9 0 12,72 48 18 0 55,
dong,81144,37 35 0 9 0,43 35 0 7 0,64 70 40 29 2,75 70 81 31 31,,,53 43 1 4 0,62 70 20 26 3,72 70 70 11 26,
dont,86437,22 41 3 0 0,25 20 0 0 0,34 41 32 0 2,47 72 54 0 15,,,,,,
dopa,120000,33 34 3 20 0,59 55 25 8 16,75 90 10 18 62,144 123 18 1 120,,,56 55 18 11 11,76 90 12 15 64,141 116 7 1 122,
dopa2,121091,11 13 1 18 0,30 36 14 108 2,59 72 14 35 56,87 97 16 28 109,108 119 23 48 118,,30 36 12 105 2,58 66 10 35 53,85 97 14 27 110,99 104 14 36 118
dora,92681,9 15 1 0 0,17 20 18 6 0,28 35 21 10 0,34 41 9 10 14,,,,,,
dorm,99426,17 17 0 19 0,28 23 0 59 0,40 40 12 81 7,53 46 25 61 15,,,28 23 0 59 0,41 40 12 59 7,53 46 16 61 15,
doth,107025,17 24 1 0 0,26 37 9 23 0,40 43 18 47 6,54 49 30 55 18,,,28 37 9 12 0,45 43 20 49 8,63 67 25 53 42,
dots,116800,19 25 1 4 0,39 37 18 7 3,64 50 34 23 26,93 100 47 29 103,,,37 37 12 5 2,68 50 20 9 29,89 87 58 20 102,
doub,103529,17 19 0 17 0,37 38 10 25 4,72 51 14 40 34,104 101 0 43 105,,,39 38 7 15 4,70 51 3 40 32,102 101 0 43 105,
doup,89142,25 23 0 12 0,38 46 29 12 0,58 46 32 15 26,85 70 50 29 101,68 58 94 70 49,,38 40 29 12 0,58 46 38 10 22,77 75 69 22 81,68 58 94 68 71
douw,110838,14 21 1 14 0,36 43 9 59 0,60 54 9 96 3,98 87 7 49 37,,,36 43 7 58 0,59 54 7 86 2,86 87 12 52 28,
doyo,74400,,23 25 0 0 2,34 33 1 0 15,39 58 1 0 30,,,21 25 1 0 2,38 58 5 0 26,,
doyw,106553,18 15 1 15 0,27 26 1 59 0,46 42 12 50 13,58 42 32 47 26,,,19 26 0 0 0,47 42 27 0 11,59 42 16 17 26,
drab,93000,34 40 7 0 0,53 60 9 3 2,66 60 9 3 6,84 60 3 3 23,,,53 60 9 3 2,66 60 3 3 6,85 60 0 3 23,
dran,118154,11 16 1 35 0,20 32 14 62 0,40 43 30 76 8,60 65 34 23 36,,,20 32 14 62 0,40 43 30 76 8,58 54 34 24 30,
drat,113684,6 11 1 0 0,23 27 5 29 0,40 38 18 13 11,59 55 32 23 33,,,23 22 12 22 0,40 38 10 10 10,57 49 20 14 32,
draw,98400,10 13 3 16 0,43 34 10 8 1,72 69 41 14 45,142 105 45 9 114,,,39 41 14 13 1,72 83 61 9 46,155 105 25 11 118,
drdr,84753,8 12 0 0 0,17 16 0 21 0,28 24 0 21 5,36 32 0 21 14,15 16 0 21 0,,16 16 0 21 0,26 24 0 21 5,35 32 0 21 13,16 16 0 21 0
drea,86659,20 19 1 0 0,26 25 1 0 0,53 45 7 0 17,71 51 0 0 31,,,26 32 3 0 0,53 45 7 0 17,68 51 29 5 30,
dree,114128,16 23 3 25 0,23 23 5 38 0,44 41 14 35 6,57 47 23 34 21,,,24 23 9 42 0,40 41 40 78 3,55 47 41 40 16,
drem,89146,19 23 1 0 0,40 35 32 37 0,53 46 25 30 14,68 46 18 26 58,,,31 29 7 24 0,52 46 23 21 11,72 46 16 17 53,
drif,95292,18 17 5 0 0,23 22 14 33 0,47 45 7 25 19,74 62 27 18 92,,,26 22 9 31 0,45 34 23 21 6,70 51 32 18 77,
dril,88935,,31 42 21 0 0,35 49 23 0 1,51 56 78 0 12,,,,,,
driv,92906,14 19 1 19 0,27 25 5 28 0,48 51 16 66 18,84 71 63 25 74,,,25 25 3 28 0,48 45 9 66 19,79 90 49 44 83,
drlo,96581,18 20 0 0 0,31 30 1 0 0,39 35 10 0 7,49 46 16 0 24,,,31 35 3 0 0,39 30 5 0 7,48 41 34 2 17,
drmh,110897,12 12 1 8 0,25 24 5 8 0,47 48 21 5 5,76 72 27 27 63,,,25 24 5 8 0,47 48 18 5 5,76 72 27 27 62,
droo,118428,12 19 1 0 0,24 31 5 38 0,37 50 32 39 4,58 57 27 36 23,,,22 31 5 34 0,40 44 20 40 5,64 63 36 37 38,
drop,93224,23 32 20 0 0,42 54 45 0 1,63 54 20 0 2,85 86 65 0 16,,,37 43 1 0 0,63 43 16 0 2,81 86 30 0 12,
drop3,84465,21 21 0 0 0,,59 48 16 11 25,,66 86 16 11 59,,,,,65 86 30 11 58
drow,114482,22 29 7 27 0,38 43 16 55 1,76 65 27 12 32,94 100 23 47 100,,,38 36 10 55 1,74 65 27 12 31,94 100 23 36 90,
drsa,120000,17 16 1 17 0,30 27 7 53 1,46 44 14 95 13,74 83 32 50 102,63 77 20 173 102,,31 27 3 38 1,46 44 12 93 12,71 83 21 53 101,54 66 7 44 23
drtb,118400,23 23 0 8 0,45 41 20 15 6,60 53 12 23 23,83 94 36 26 101,104 144 52 47 118,,46 47 30 12 7,60 53 12 23 23,87 94 16 23 102,111 144 38 56 123
drte,94500,26 26 0 0 0,31 33 5 17 0,49 46 34 47 7,69 60 27 15 39,,,29 26 0 10 0,50 53 9 18 7,70 60 27 0 33,
dryf,120000,8 12 3 41 0,28 30 5 12 0,41 37 3 12 15,62 61 16 12 46,,,29 30 3 12 0,41 37 1 12 15,61 61 10 12 40,
dshc,121348,18 22 9 23 0,38 44 34 64 0,58 59 20 48 17,85 101 47 25 77,,,38 44 25 64 0,57 59 21 34 16,81 96 36 43 67,
dsmo,93329,,19 19 5 0 0,30 34 9 0 2,37 39 27 0 7,,,25 24 5 0 0,36 34 16 0 2,43 39 7 0 14,
dtwf,94500,31 33 5 17 0,,,,37 60 12 200 16,,,,,33 60 10 200 14
dual,123243,37 38 12 31 0,49 54 9 36 8,85 77 14 26 47,110 111 16 34 105,,,49 54 7 36 8,81 69 9 29 40,96 111 12 39 102,
dubi,72375,22 22 9 0 0,37 45 49 0 1,56 56 36 0 16,58 56 87 0 28,75 62 34 0 84,,37 45 72 0 1,54 51 98 0 13,53 45 0 0 21,64 51 16 0 42
dubi2,93529,16 17 0 0 0,36 45 54 55 1,51 56 49 36 12,60 62 74 25 41,44 45 78 47 1,,38 45 63 30 1,49 51 100 8 10,68 56 16 26 59,44 45 80 25 1
dumm,90522,16 14 0 16 0,29 29 0 8 0,49 51 5 3 8,66 58 34 11 28,,,29 29 0 8 0,49 51 5 3 8,71 58 0 22 33,
dunk,68885,,46 45 9 0 11,45 39 29 0 14,53 45 0 0 58,,,44 45 14 0 9,53 45 14 0 58,,
dvis,98000,30 29 3 0 0,54 58 20 25 18,71 87 106 13 50,85 87 112 13 85,113 108 90 13 103,,53 58 12 25 18,70 67 41 13 49,90 97 92 13 100,113 108 89 13 101
dwtd,105600,18 18 3 31 0,37 50 27 60 2,63 75 12 34 43,89 100 20 28 104,,,36 50 23 60 2,59 75 12 34 39,87 100 20 28 104,
dwtr,110739,12 13 1 4 0,30 27 7 1 4,58 59 5 1 53,95 96 3 1 113,,,30 23 5 1 4,55 59 1 1 46,88 92 3 1 112,
dxyy,103375,20 49 60 0 0,30 30 34 0 1,52 49 61 0 13,68 61 60 0 40,,,39 37 54 0 0,53 43 56 0 14,64 55 67 0 27,
dyna,91200,24 25 0 0 0,41 50 61 0 0,58 56 45 0 21,87 62 21 0 76,79 62 49 10 69,,47 50 47 0 0,54 50 49 0 7,72 50 25 0 26,71 62 29 0 37
dyna2,86400,22 25 3 0 0,37 31 7 9 0,55 43 20 3 19,71 50 18 14 45,,,31 25 3 9 0,51 43 21 2 11,67 50 23 0 32,
dyna3,86462,,,,,67 63 43 17 30,,,,,64 56 34 27 22
dyna4,94400,14 18 5 0 0,27 31 7 0 0,45 43 23 7 6,64 50 34 7 32,,,29 31 9 4 0,46 43 23 3 6,60 50 34 3 23,
dyns,91200,41 50 61 0 0,,,,47 56 159 0 1,,,,,47 56 160 0 1
dyou,92426,19 24 14 30 0,26 37 16 40 0,45 49 27 35 5,56 49 9 58 16,,,,,,
eace,89577,16 11 0 0 0,18 23 0 0 0,36 41 0 12 6,48 41 0 7 19,,,18 29 0 0 0,33 41 0 5 4,44 41 0 0 12,
eape,99130,8 11 3 0 0,18 23 0 30 0,59 63 34 31 36,97 92 23 18 103,,,32 28 3 3 0,59 63 34 31 36,95 92 23 18 104,
eart,100598,20 21 9 0 0,27 32 16 51 1,39 43 32 63 7,58 59 14 61 38,,,,,,
eaty,86014,,22 21 0 0 0,37 27 0 0 6,55 43 1 0 24,,,27 21 0 0 0,34 38 1 0 8,51 43 0 0 22,
ecst,101941,23 44 14 0 0,33 27 10 0 0,46 44 14 0 11,54 55 21 0 21,,,35 38 30 0 0,46 38 27 0 9,58 49 20 0 24,
ecst3,87461,,,,,59 54 30 35 30,,,,,52 54 21 44 20
eday,101333,15 15 1 5 0,20 18 3 0 0,28 26 14 22 5,46 41 10 12 33,,,20 18 3 0 0,28 26 14 22 5,51 45 7 13 47,
edmj,112546,12 16 1 20 0,25 28 18 61 0,44 44 23 51 9,59 50 23 67 51,,,23 28 12 58 0,42 44 21 46 7,57 50 20 64 45,
edsm,107139,17 17 3 21 0,31 28 12 17 0,55 45 20 28 16,94 91 3 2 102,,,31 28 12 17 0,56 45 12 25 18,88 68 5 2 100,
egoi,96549,54 56 9 1 1,59 71 9 11 4,88 106 10 15 20,152 135 10 21 106,226 142 18 5 116,,60 71 7 11 3,86 106 10 14 16,152 135 18 14 106,270 142 5 8 118
eine,106320,12 16 0 0 0,20 20 1 72 0,31 32 7 113 8,42 36 1 89 26,,,19 20 1 60 0,29 28 3 112 6,41 36 1 75 24,
eira,119997,14 21 3 23 0,43 42 27 55 3,56 56 3 65 18,98 99 18 41 101,137 106 25 52 112,,43 42 21 51 3,54 56 3 78 17,97 85 21 37 101,126 106 3 65 110
elec,96000,21 20 5 0 1,37 31 0 0 5,55 46 23 0 21,72 52 5 0 67,,,34 20 0 0 0,51 41 0 0 15,63 52 5 0 37,
elem,126795,44 68 10 36 0,69 111 5 29 12,96 131 14 29 26,145 145 47 23 74,165 159 49 23 100,,67 111 3 29 12,96 131 14 29 26,147 138 43 23 65,179 159 47 23 95
elri,90269,16 27 5 0 0,27 27 7 0 0,43 44 12 0 12,54 49 34 0 40,,,35 44 23 0 0,38 44 70 0 2,48 44 38 0 12,
elrt,91526,13 14 0 0 0,31 29 23 9 0,47 39 9 12 17,63 49 34 20 51,91 78 40 0 106,,29 24 3 9 0,44 39 21 3 12,62 49 23 9 47,77 73 27 7 101
eltr,102317,25 30 7 7 0,45 38 9 44 0,74 76 16 36 55,98 107 63 32 104,,,42 38 9 25 0,72 61 9 27 51,96 99 21 35 103,
elvn,122835,12 14 3 0 0,19 19 3 22 0,40 39 18 49 12,55 44 29 42 32,98 79 32 24 112,,18 19 3 22 0,37 39 20 59 10,55 44 29 40 30,99 79 34 24 114
elys,96418,14 12 0 0 0,35 36 7 16 0,49 42 7 59 12,58 54 10 93 28,83 72 16 57 100,,35 36 7 16 0,47 36 10 50 10,58 54 5 64 33,86 72 0 39 101
emer,102859,16 20 1 35 0,31 26 7 48 0,59 53 29 71 21,100 93 32 58 103,117 103 36 81 107,,36 47 25 48 1,58 53 27 70 21,99 93 34 57 104,119 103 25 74 108
emot,66297,16 24 16 0 0,29 30 21 0 0,36 36 34 0 3,40 48 63 0 7,,,33 36 43 0 2,41 48 54 0 9,46 60 32 60 31,
empa,117333,24 22 5 42 0,44 37 9 21 1,71 67 14 24 28,83 82 10 24 80,,,44 37 5 21 1,71 67 14 24 28,83 82 10 24 80,
emtr,111529,6 7 0 7 0,32 35 18 28 0,57 56 20 31 20,95 99 40 24 100,,,31 35 14 33 0,57 56 16 31 20,92 99 32 28 98,
endl,112000,17 25 9 20 0,39 37 20 17 1,56 43 25 9 14,84 68 63 20 99,,,38 37 18 15 0,53 43 21 8 11,79 62 34 16 70,
endo,92626,23 28 0 0 0,49 49 36 0 0,66 49 36 0 18,75 64 72 0 31,,,49 57 47 0 0,52 57 54 0 0,84 57 27 0 34,
endr,107247,32 39 5 12 0,48 53 30 9 6,71 66 12 16 67,115 103 38 17 106,,,50 46 9 29 11,74 66 21 25 56,93 99 56 48 105,
endy,120885,45 54 16 42 1,78 104 40 42 22,97 110 54 52 67,154 124 81 52 106,198 158 106 43 116,,77 104 25 38 19,95 110 36 46 56,157 124 50 47 105,224 158 67 43 118
engr,111063,24 31 7 0 0,45 62 20 51 5,76 62 25 20 32,101 112 16 21 102,,,45 62 20 52 5,76 62 25 20 32,100 112 12 29 103,
ensi,99331,10 14 0 0 0,21 18 0 21 0,33 28 18 12 2,46 56 18 9 20,,,,,,
envi,93000,21 26 9 0 0,50 40 7 13 10,73 53 14 48 36,101 86 10 49 104,,,48 40 5 13 9,73 53 12 48 35,96 86 5 49 104,
eonb,109708,17 17 5 11 0,47 53 18 12 2,76 71 14 19 22,124 103 12 10 101,130 121 21 39 111,,46 44 12 15 1,73 71 7 22 18,128 103 14 8 101,121 121 21 41 108
eran,90000,19 19 0 0 0,27 25 0 0 1,52 38 0 0 13,79 51 0 0 51,,,31 25 0 0 0,48 38 14 0 11,73 51 0 0 43,
esca,94286,23 23 0 0 0,33 29 5 11 0,46 46 38 19 8,59 52 49 19 21,89 70 109 25 80,,32 29 5 16 0,46 40 36 19 9,59 52 45 19 21,89 70 106 24 100
esco,111546,29 30 5 13 2,60 83 23 23 18,82 103 20 26 52,126 114 27 23 106,,,59 76 12 23 15,78 91 16 26 41,121 114 27 23 105,
esed,91270,11 23 9 0 0,31 35 5 26 0,44 47 32 18 6,61 47 38 21 21,,,33 35 7 22 0,44 47 40 18 6,57 47 38 23 20,
espr,122117,10 21 1 9 0,46 35 3 14 0,92 63 5 21 50,157 103 10 16 109,,,43 35 5 16 0,91 63 5 19 49,179 103 12 16 112,
esti,99885,23 25 7 0 0,23 25 5 0 0,47 45 21 42 8,66 64 58 17 35,,,29 32 9 12 0,53 45 27 4 14,67 51 10 9 36,
estm,88159,18 24 21 0 0,33 30 0 0 0,42 36 10 0 5,66 61 21 0 31,,,31 36 14 0 0,51 49 14 0 9,64 49 41 0 23,
eter,96001,14 17 3 0 0,33 29 0 11 0,48 52 34 60 21,76 64 7 21 100,,,33 29 0 11 0,49 52 25 65 22,77 70 21 3 102,
etny,95678,13 12 0 0 0,30 30 5 20 0,48 43 16 27 8,62 55 32 34 24,,,30 30 5 18 0,45 49 29 30 8,63 55 41 32 30,
etsg,83998,15 14 12 0 0,22 39 27 32 0,36 44 20 18 7,49 54 10 18 24,,,24 29 0 86 0,34 29 9 32 2,44 49 20 93 24,
etsu,132414,20 24 0 10 0,37 48 20 40 0,54 48 23 9 15,71 96 47 21 45,,,38 36 18 12 0,53 48 20 4 14,70 96 29 34 44,
etup,86603,13 20 0 0 0,33 36 29 0 0,42 36 23 0 8,59 62 30 0 48,,,33 31 34 0 0,42 36 25 0 6,54 41 7 0 44,
euph,112000,19 28 9 36 0,45 42 18 21 6,76 84 43 30 46,139 106 38 15 110,,,45 49 27 21 6,73 84 41 40 45,144 106 27 16 111,
evan,107352,30 31 18 10 0,52 61 45 22 7,91 85 36 27 100,139 111 58 25 112,,,52 54 29 21 6,87 85 23 27 83,141 111 41 24 112,
evda,92598,17 21 7 0 0,20 21 7 0 0,42 37 32 17 5,55 42 60 0 19,,,,,,
ever,90858,19 17 7 0 0,38 29 0 0 0,48 46 30 0 18,66 52 20 0 41,,,32 35 9 0 0,49 46 20 0 12,64 58 23 0 25,
evrd,90241,17 20 5 40 0,25 25 7 40 0,40 35 7 27 9,58 66 43 27 29,,,25 25 9 6 0,40 35 7 27 9,53 40 25 29 26,
evti,99723,13 17 3 0 0,29 29 5 29 0,37 41 18 50 2,45 47 12 43 10,,,28 29 5 21 0,37 41 7 43 2,45 47 3 33 10,
exmo,119278,25 31 12 31 1,41 46 21 30 4,54 62 40 15 24,71 78 50 13 46,,,41 46 21 29 4,57 62 25 17 27,71 78 52 15 46,
exot,92210,26 31 3 0 0,36 31 3 20 0,49 55 21 65 4,93 63 34 24 40,,,38 63 32 21 0,55 63 41 16 4,57 55 43 141 16,
eyes,109813,18 17 7 0 0,25 29 7 138 0,46 47 21 56 15,58 59 30 49 28,47 47 1 120 13,,26 29 7 135 0,38 35 3 113 6,48 47 0 120 13,
ezdo,94286,12 11 9 0 0,25 29 10 12 0,40 35 10 22 4,51 40 23 22 18,,,25 29 5 31 0,41 40 12 25 5,50 40 18 28 19,
f4sh,104571,15 23 7 30 0,35 46 14 23 0,60 46 12 20 22,78 75 43 34 94,134 108 103 26 112,,34 40 12 17 0,56 46 45 15 19,78 81 27 26 90,159 108 108 37 117
fac6,95973,,33 31 21 0 0,38 41 41 0 4,52 46 10 0 31,,,36 36 27 0 0,43 36 41 0 7,53 41 32 0 18,
fain,99556,16 16 0 3 0,26 22 0 11 0,42 33 7 22 5,51 45 27 33 13,,,27 28 1 15 0,50 39 12 33 11,50 45 41 61 14,
fami,87259,23 22 0 0 0,29 33 23 35 0,41 44 47 14 6,66 66 56 13 52,,,,,,
fant,87372,20 26 5 0 0,28 26 0 26 0,41 40 9 72 1,80 80 30 44 100,,,15 13 0 24 0,48 46 23 49 6,66 60 20 66 34,
fare,112000,16 22 0 0 0,40 37 7 9 0,58 45 16 12 12,80 60 16 7 40,,,36 37 3 7 0,58 45 16 13 12,80 60 10 5 39,
fare2,113835,13 21 3 2 0,37 36 10 36 0,54 65 10 31 16,69 72 20 30 43,,,38 36 5 35 0,54 51 7 36 13,69 72 14 49 43,
fasc,101222,19 21 0 0 8,53 83 32 18 67,78 107 43 7 102,149 144 16 4 135,160 144 18 12 137,,52 52 1 26 57,75 94 49 4 102,161 133 0 3 130,174 133 1 3 132
fasc2,97500,46 73 40 11 0,59 98 101 10 4,81 98 98 0 19,137 136 20 3 84,132 136 110 12 61,,57 73 43 44 4,76 98 81 7 15,150 111 34 1 94,148 105 25 0 57
fast,102384,14 10 0 0 0,26 26 1 30 0,40 31 7 93 4,56 42 34 41 20,,,26 26 1 30 0,39 31 1 85 2,52 42 9 60 16,
favo,92310,14 16 1 0 0,27 32 16 0 1,36 43 21 31 6,48 54 43 63 23,,,27 32 12 0 1,36 43 21 31 6,48 48 36 69 23,
fdub,81894,11 17 3 0 0,19 21 7 100 4,31 39 3 109 20,45 42 0 74 64,47 39 9 116 73,,19 21 7 100 4,30 39 3 106 20,47 39 7 111 72,
feal,102347,20 20 1 0 0,25 27 0 0 0,53 47 1 0 10,68 81 0 0 46,,,26 27 0 0 0,53 54 1 0 8,69 68 10 0 42,
feax,102347,20 20 1 0 0,,,,90 131 38 47 93,,,,,89 131 27 33 88
feee,99426,15 17 0 0 0,26 23 1 36 0,45 35 7 39 5,55 40 16 38 15,,,22 17 1 19 0,36 29 1 19 0,54 40 14 20 14,
feel,96466,20 22 16 0 0,35 34 23 69 0,44 39 30 64 8,63 51 32 32 32,,,27 22 1 80 0,44 39 32 61 5,61 51 32 13 33,
feel2,93750,18 21 9 0 0,24 26 1 0 0,45 42 43 0 10,61 53 58 17 24,,,,,,
fego,98761,11 17 0 0 0,18 23 0 0 0,30 34 10 8 6,44 46 9 10 15,,,18 23 0 0 0,30 34 7 8 4,42 46 7 10 12,
feid,104000,15 18 3 20 0,41 43 29 12 0,50 50 29 18 11,62 50 40 18 24,,,41 43 36 12 0,50 50 27 18 11,61 50 38 18 24,
felw,96667,20 24 5 18 0,39 30 3 45 0,50 48 30 52 11,73 60 38 36 41,,,39 30 3 45 0,53 42 12 3 14,81 66 5 22 64,
feva,91408,18 21 0 0 0,31 26 5 4 0,34 31 30 22 0,41 37 32 28 6,,,31 26 1 4 0,34 37 30 22 0,41 37 27 13 5,
feve,111042,14 22 1 0 0,25 22 1 11 0,39 33 14 33 3,47 44 9 68 10,,,25 22 1 18 0,39 33 1 23 3,47 44 7 59 11,
fiac,115765,11 14 1 13 0,34 35 9 27 0,48 49 25 40 11,72 63 14 42 40,,,31 28 10 30 0,48 49 16 38 8,69 63 12 38 35,
fidi,111781,19 18 7 28 0,35 30 12 11 0,61 48 14 15 33,106 97 40 24 104,,,35 30 12 11 0,60 48 7 14 31,105 97 30 24 104,
fied,92573,22 23 0 0 0,31 23 0 13 0,45 35 16 9 3,58 46 32 19 26,,,38 29 0 9 0,44 35 23 9 2,61 46 10 17 29,
fiel,98822,15 14 1 0 0,33 28 3 11 0,57 49 14 21 10,69 56 21 53 23,,,33 35 3 7 0,57 49 7 38 12,68 56 16 42 23,
fifi,126400,22 31 3 0 0,32 50 16 5 0,48 50 23 25 7,90 87 23 14 96,,,28 31 14 20 0,41 50 23 42 3,78 75 20 37 59,
file,106105,10 19 1 22 0,28 31 3 47 3,44 50 29 83 9,68 63 60 64 40,112 102 81 57 122,,26 31 3 34 3,41 50 18 89 3,78 63 60 95 58,118 79 85 68 128
fina,93912,19 21 1 33 0,27 32 12 34 0,36 32 30 48 2,58 64 14 46 29,,,,,,
fire,98800,20 18 0 0 0,19 25 0 27 0,45 50 5 70 8,60 56 18 79 25,,,15 25 0 30 0,39 43 7 62 3,72 56 10 48 36,
firr,88689,19 23 0 0 0,36 38 7 39 0,57 61 14 24 13,77 92 21 19 35,,,26 30 7 0 0,43 46 29 54 5,79 92 56 52 36,
firs,99429,17 23 3 8 6,34 29 10 21 30,60 58 50 16 70,88 92 89 15 113,121 119 61 19 133,,34 29 7 21 30,59 58 50 15 64,88 92 74 15 115,128 119 56 18 141
fist,117966,21 29 23 14 0,42 51 18 33 2,67 73 49 52 51,83 101 87 86 100,126 101 162 27 103,,41 51 16 32 2,65 73 32 46 39,82 101 76 79 100,160 101 165 24 108
five,68610,9 12 14 0 0,13 16 0 0 0,24 33 21 0 22,30 33 1 0 41,,,14 16 0 0 0,24 33 20 0 22,48 67 10 42 42,
fivs,97259,23 35 50 0 0,29 46 56 0 0,36 46 56 0 0,57 40 18 0 19,,,30 29 1 0 0,39 46 47 0 0,54 40 14 0 15,
fjus,98965,12 10 0 0 0,22 18 0 5 0,31 21 1 5 6,40 32 0 7 24,,,19 14 0 5 0,27 21 23 5 3,35 25 16 5 15,
fksb,104229,20 31 10 21 0,35 31 14 29 0,58 50 10 19 21,87 88 52 5 101,143 103 78 9 116,,36 31 10 29 0,58 44 7 17 20,85 88 38 26 95,150 103 52 5 117
flan,130800,26 33 9 39 0,61 58 27 28 8,88 66 38 58 38,123 104 56 42 102,,,61 58 27 28 8,85 66 36 58 36,126 104 47 38 101,
flas,82328,24 20 10 0 0,47 41 23 0 0,62 55 32 0 16,69 76 61 0 27,,,50 41 9 0 1,54 48 30 0 5,56 55 70 0 7,67 48 40 0 20
fleu,116001,22 22 10 16 0,49 45 18 32 8,74 60 23 31 44,104 110 60 27 104,,,48 45 16 31 8,75 60 9 34 44,97 97 36 27 103,
flfl,113829,16 21 3 5 0,39 58 65 13 0,44 58 87 86 2,76 87 83 42 78,,,39 58 65 10 0,44 58 80 47 2,68 80 94 27 56,
flig,95998,14 18 0 0 0,27 30 20 3 0,36 48 29 40 4,44 42 27 103 10,47 48 65 60 3,,28 24 0 3 0,35 36 23 44 1,43 42 20 103 9,40 36 41 41 1
flik,99722,7 9 1 0 0,21 22 18 38 0,38 36 32 0 8,52 54 34 28 25,,,,,,
flly,107546,13 34 3 3 0,39 46 10 45 0,61 80 23 74 7,77 113 52 59 27,135 125 58 47 105,,37 46 18 44 0,62 80 14 71 7,78 107 38 55 28,133 119 38 48 104
floj,107062,,18 19 0 0 0,25 19 0 0 1,34 27 18 0 13,,,26 19 0 0 1,34 31 27 0 19,,
flor,105777,9 16 1 0 0,18 28 12 104 0,42 75 12 37 29,96 136 5 44 124,,,16 28 16 106 0,41 75 7 37 29,95 136 3 44 130,
